original,Date,Open,High,Low,Close,Adj Close,Volume
20140124,2014-01-24,19,19.5,18.5,18.8,14.2723,8417060
20140127,2014-01-27,18.7,18.8,18.1,18.4,13.9686,3240910
20140206,2014-02-06,18.2,18.3,17.6,17.6,13.3613,959590
20140207,2014-02-07,17.4,17.5,16.5,16.6,12.6021,2987600
20140210,2014-02-10,16.5,17.2,16.2,17,12.9058,4052090
20140211,2014-02-11,17.2,17.2,16.9,16.9,12.8299,1938480
20140212,2014-02-12,16.8,16.9,16.7,16.8,12.754,1176180
20140213,2014-02-13,16.8,16.9,16.6,16.6,12.6021,2156140
20140214,2014-02-14,16.8,17,16.6,16.8,12.754,1489380
20140217,2014-02-17,16.9,16.9,16.6,16.7,12.6781,1173560
20140218,2014-02-18,16.7,16.7,16.6,16.6,12.6021,1861540
20140219,2014-02-19,16.7,16.8,16.5,16.6,12.6021,2988120
20140220,2014-02-20,16.7,17.2,16.6,16.9,12.8299,3243650
20140221,2014-02-21,16.8,16.8,16.7,16.7,12.6781,903040
20140224,2014-02-24,16.8,16.8,16.6,16.7,12.6781,833430
20140225,2014-02-25,16.6,16.7,16.5,16.7,12.6781,1249150
20140226,2014-02-26,16.7,16.9,16.6,16.7,12.6781,1399670
20140227,2014-02-27,16.7,17.4,16.7,16.9,12.8299,3731900
20140228,2014-02-28,16.8,17,16.8,17,12.9058,1154560
20140303,2014-03-03,16.9,17,16.7,16.7,12.6781,954830
20140304,2014-03-04,16.6,16.7,16.5,16.6,12.6021,1551740
20140305,2014-03-05,16.7,16.8,16.6,16.6,12.6021,737090
20140306,2014-03-06,16.6,16.7,16.5,16.6,12.6021,768340
20140307,2014-03-07,16.6,16.7,16.6,16.6,12.6021,773450
20140310,2014-03-10,16.6,16.8,16.6,16.7,12.6781,957770
20140311,2014-03-11,16.6,16.7,16.6,16.6,12.6021,752790
20140312,2014-03-12,16.6,16.7,16.5,16.5,12.5262,979430
20140313,2014-03-13,16.6,16.6,16.4,16.5,12.5262,806950
20140314,2014-03-14,16.6,16.7,16.4,16.6,12.6021,924510
20140317,2014-03-17,16.6,16.7,16.5,16.6,12.6021,989350
20140318,2014-03-18,16.6,16.9,16.5,16.8,12.754,2171570
